Datetime,RaTemp,RaFanPower,EaDmprPos,RaDmprPos,OaTemp,OaDmprPos,MaTemp,HWVlvPos,HCALTemp,ChWVlvPos,CCALTemp,DaFanPower,DaTemp,OaTemp_WS,ReHeatVlvPos_1,ReHeatVlvPos_2,ZoneDaTemp_1,ZoneDaTemp_2,ZoneTemp_1,ZoneTemp_2,
2018/1/1 1:00,17.9,,0,100,3.37,0,13.32,0,12.23,0,13.79,,13.74,,,,,,509.39,,
2018/1/2 1:00,20.17,,42.83,57.17,6.34,42.83,17.18,0,16.37,0,17.34,,18.94,,,,,,509.34,,
2018/1/3 1:00,19.51,,25.08,74.92,3.98,25.08,17.87,0,16.98,0,17.89,,18.95,,,,,,509.27,,
2018/1/4 1:00,19.66,,41.19,58.81,7.48,41.19,17.3,0,16.74,0,17.69,,18.99,,,,,,509.43,,
2018/1/5 1:00,19.67,,20,80,2.83,20,17.69,0,16.98,0,17.89,,18.6,,,,,,509.22,,
2018/1/6 1:00,20.06,,37.7,62.3,4.63,37.7,17.62,0,16.79,0,17.77,,19.03,,,,,,509.39,,
2018/1/7 1:00,19.43,,0,100,2.11,0,17.1,0,15.88,0,15.79,,14.62,,,,,,509.48,,
2018/1/8 1:00,19.78,,0,100,2.72,0,18.71,0,17.92,0,17.78,,17.14,,,,,,509.5,,
2018/1/9 1:00,19.42,,37.52,62.48,7.63,37.52,17.51,0,16.52,0,17.35,,18.94,,,,,,509.31,,
2018/1/10 1:00,19.76,,35.57,64.43,3.15,35.57,18.02,0,17.12,0,17.93,,19.22,,,,,,509.26,,
2018/1/11 1:00,19.93,,39.04,60.96,7.02,39.04,17.96,0,16.56,0,17.48,,19.02,,,,,,509.58,,
2018/1/12 1:00,20.07,,40.04,59.96,7.63,40.04,17.52,0,16.34,0,17.21,,19.01,,,,,,509.58,,
2018/1/13 1:00,19.76,,42.3,57.7,8.3,42.3,17.48,0,16.5,0,17.38,,19.11,,,,,,509.59,,
2018/1/14 1:00,19.94,,0,100,5.08,0,18.34,0,17.72,0,18.24,,18.56,,,,,,509.51,,
2018/1/15 1:00,19.79,,0,100,10.2,0,15.8,0,15.02,0,15.79,,16.33,,,,,,510.06,,
2018/1/16 1:00,19.77,,33.51,66.49,5.4,33.51,18.14,0,16.98,0,17.94,,18.92,,,,,,509.33,,
2018/1/17 1:00,19.66,,26.46,73.54,0.86,26.46,17.27,0,17.02,0,17.76,,18.99,,,,,,508.98,,
2018/1/18 1:00,19.77,,32.66,67.34,8.13,32.66,18.32,0,17.19,0,18.06,,19.13,,,,,,509.46,,
2018/1/19 1:00,19.77,,20,80,-0.32,20,17.06,6.3,17.47,0,19,,19.03,,,,,,508.91,,
2018/1/20 1:00,19.64,,36.1,63.9,5.1,36.1,18.15,0,16.89,0,17.77,,19.04,,,,,,509.19,,
2018/1/21 1:00,20.02,,39.08,60.92,6.61,39.08,17.82,0,16.74,0,17.72,,19.13,,,,,,509.43,,
2018/1/22 1:00,19.96,,34.49,65.51,7.48,34.49,17.13,0,16.41,0,17.49,,18.66,,,,,,509.61,,
2018/1/23 1:00,19.91,,53.51,46.49,10.71,53.51,17.99,0,16.52,0,17.34,,19.09,,,,,,509.77,,
2018/1/24 1:00,20.23,,60.92,39.08,11.09,60.92,16.39,0,15.73,0,16.53,,19.06,,,,,,509.74,,
2018/1/25 1:00,19.41,,23.58,76.42,4.38,23.58,18,0,16.86,0,17.86,,19,,,,,,509.24,,
2018/1/26 1:00,19.71,,32.58,67.42,5.94,32.58,18.29,0,17.08,0,17.99,,18.93,,,,,,509.36,,
2018/1/27 1:00,19.7,,46.68,53.32,8.53,46.68,17.28,0,16.24,0,17.14,,19,,,,,,509.5,,
2018/1/28 1:00,20.42,,51.51,48.49,11.25,51.51,17.98,0,16.93,0,17.93,,18.98,,,,,,510.02,,
2018/1/29 1:00,19.86,,44.11,55.89,10.37,44.11,17.61,0,16.58,0,17.47,,19.03,,,,,,509.73,,
2018/1/30 1:00,19.3,,20,80,3.67,20,17.58,1.79,17.65,0,18.65,,19.13,,,,,,509.11,,
2018/1/31 1:00,19.77,,42.12,57.88,7.74,42.12,17.65,0,16.56,0,17.49,,19.09,,,,,,509.7,,
